# report	pdf	html	format	date — written by generate-pdf.mjs, do not edit
	output/Gwee_Per_Ming_Grab_Software_Engineer_Backend_AI_744000145032469_Cover_Letter.pdf		a4	2026-08-25
	output/Gwee_Per_Ming_Grab_SWE_Backend_AI.pdf	output/Gwee_Per_Ming_Grab_SWE_Backend_AI.html	a4	2026-08-26
	output/Gwee_Per_Ming_Grab_SWE_Backend_AI_Cover_Letter.pdf	output/Gwee_Per_Ming_Grab_SWE_Backend_AI_Cover_Letter.html	a4	2026-08-26
	output/Gwee_Per_Ming_Grab_SWE_Fullstack_DevOps.pdf	output/Gwee_Per_Ming_Grab_SWE_Fullstack_DevOps.html	a4	2026-08-26
	output/Gwee_Per_Ming_Grab_SWE_Fullstack_DevOps_Cover_Letter.pdf	output/Gwee_Per_Ming_Grab_SWE_Fullstack_DevOps_Cover_Letter.html	a4	2026-08-26
013	output/Gwee_Per_Ming_Shopee_Agent_Prompt_Engineer_J02125759.pdf	output/Gwee_Per_Ming_Shopee_Agent_Prompt_Engineer_J02125759.html	a4	2026-08-28
	output/Gwee_Per_Ming_Shopee_Agent_Prompt_Engineer_J02125759_Cover_Letter.pdf	output/Gwee_Per_Ming_Shopee_Agent_Prompt_Engineer_J02125759_Cover_Letter.html	a4	2026-08-28
	output/Gwee_Per_Ming_Data_Engineer_Fabric_Azure_Cover_Letter.pdf	output/Gwee_Per_Ming_Data_Engineer_Fabric_Azure_Cover_Letter.html	a4	2026-09-02
	output/Gwee_Per_Ming_Data_Engineer_Fabric_Azure.pdf	output/Gwee_Per_Ming_Data_Engineer_Fabric_Azure.html	a4	2026-09-03
	output/srkk-test.pdf	output/srkk-test.html	a4	2026-09-11
	output/Gwee_Per_Ming_SRKK_Data_Engineer_Cover_Letter.pdf	output/Gwee_Per_Ming_SRKK_Data_Engineer_Cover_Letter.html	a4	2026-09-11
	output/Gwee_Per_Ming_Base_CV.pdf	output/Gwee_Per_Ming_Base_CV.html	a4	2026-09-11
014	output/Gwee_Per_Ming_Cover_Letter_Data_Engineer_SRKK.pdf	output/Gwee_Per_Ming_Cover_Letter_Data_Engineer_SRKK.html	a4	2026-09-14
	output/_t1.pdf	output/_t1.html	a4	2026-09-14
	output/_t2.pdf	output/_t2.html	a4	2026-09-14
	output/_t3.pdf	output/_t3.html	a4	2026-09-14
	output/_t4.pdf	output/_t4.html	a4	2026-09-14
	output/_x1.pdf	output/_x1.html	a4	2026-09-14
	output/_x2.pdf	output/_x2.html	a4	2026-09-14
	output/_y1.pdf	output/_y1.html	a4	2026-09-14
	output/_y2.pdf	output/_y2.html	a4	2026-09-14
	output/_y3.pdf	output/_y3.html	a4	2026-09-14
	output/_z1.pdf	output/_z1.html	a4	2026-09-14
	output/_z2.pdf	output/_z2.html	a4	2026-09-14
	output/_z3.pdf	output/_z3.html	a4	2026-09-14
	output/_z4.pdf	output/_z4.html	a4	2026-09-14
	output/_w1.pdf	output/_w1.html	a4	2026-09-14
	output/_w2.pdf	output/_w2.html	a4	2026-09-14
	output/_w3.pdf	output/_w3.html	a4	2026-09-14
	output/_w4.pdf	output/_w4.html	a4	2026-09-14
	output/_w5.pdf	output/_w5.html	a4	2026-09-14
	output/_w6.pdf	output/_w6.html	a4	2026-09-14
	output/_v1.pdf	output/_v1.html	a4	2026-09-14
	output/_L1.pdf	output/_L1.html	a4	2026-09-14
	output/_L2.pdf	output/_L2.html	a4	2026-09-14
	output/_L3.pdf	output/_L3.html	a4	2026-09-14
	output/_L4.pdf	output/_L4.html	a4	2026-09-14
	output/_L5.pdf	output/_L5.html	a4	2026-09-14
	output/_L6.pdf	output/_L6.html	a4	2026-09-14
	output/_L7.pdf	output/_L7.html	a4	2026-09-14
015	output/Gwee_Per_Ming_bp_Graduate_Data_AI_RQ115463.pdf	output/Gwee_Per_Ming_bp_Graduate_Data_AI_RQ115463.html	a4	2026-09-14
018	output/Gwee_Per_Ming_Maybank_PROTEGE_Technology_Data_Digital.pdf	output/Gwee_Per_Ming_Maybank_PROTEGE_Technology_Data_Digital.html	a4	2026-09-14
	output/_mbtest.pdf	output/_mbtest.html	a4	2026-09-14
	output/Gwee_Per_Ming_Synechron_Junior_Data_Engineer_Cover_Letter.pdf	output/Gwee_Per_Ming_Synechron_Junior_Data_Engineer_Cover_Letter.html	a4	2026-09-15
	output/Gwee_Per_Ming_NTT_DATA_GLOW_Graduate_Program_Cover_Letter.pdf	output/Gwee_Per_Ming_NTT_DATA_GLOW_Graduate_Program_Cover_Letter.html	a4	2026-09-15
020	output/Gwee_Per_Ming_NTT_DATA_GLOW_Graduate_Program.pdf	output/Gwee_Per_Ming_NTT_DATA_GLOW_Graduate_Program.html	a4	2026-09-15
	output/_probe.pdf	output/_probe.html	a4	2026-09-15
	output/Gwee_Per_Ming_BlackRock_Analyst_Portfolio_Management_Cover_Letter.pdf	output/Gwee_Per_Ming_BlackRock_Analyst_Portfolio_Management_Cover_Letter.html	a4	2026-09-15
	output/_probe_cover.pdf	output/Gwee_Per_Ming_HCLTech_Graduate_Software_Engineer_Cover_Letter.html	a4	2026-09-15
	output/Gwee_Per_Ming_HCLTech_Graduate_Software_Engineer_Cover_Letter.pdf	output/Gwee_Per_Ming_HCLTech_Graduate_Software_Engineer_Cover_Letter.html	a4	2026-09-15
	output/Gwee_Per_Ming_Synechron_Junior_Data_Engineer.pdf	output/Gwee_Per_Ming_Synechron_Junior_Data_Engineer.html	a4	2026-09-15
	output/Gwee_Per_Ming_BlackRock_Analyst_Portfolio_Management.pdf	output/Gwee_Per_Ming_BlackRock_Analyst_Portfolio_Management.html	a4	2026-09-15
	output/Gwee_Per_Ming_HCLTech_Graduate_Software_Engineer.pdf	output/Gwee_Per_Ming_HCLTech_Graduate_Software_Engineer.html	a4	2026-09-15
021	output/Gwee_Per_Ming_TikTok_Data_Warehouse_Engineer_Graduate_A149597.pdf	output/Gwee_Per_Ming_TikTok_Data_Warehouse_Engineer_Graduate_A149597.html	a4	2026-09-15
022	output/Gwee_Per_Ming_Infosys_Consulting_Graduate_Analyst.pdf	output/Gwee_Per_Ming_Infosys_Consulting_Graduate_Analyst.html	a4	2026-09-15
	output/Gwee_Per_Ming_TikTok_Data_Warehouse_Engineer_Graduate_A149597_Cover_Letter.pdf	output/Gwee_Per_Ming_TikTok_Data_Warehouse_Engineer_Graduate_A149597_Cover_Letter.html	a4	2026-09-15
	output/Gwee_Per_Ming_Infosys_Consulting_Graduate_Analyst_Cover_Letter.pdf	output/Gwee_Per_Ming_Infosys_Consulting_Graduate_Analyst_Cover_Letter.html	a4	2026-09-15
023	output/Gwee_Per_Ming_Synechron_Graduate_Trainee.pdf	output/Gwee_Per_Ming_Synechron_Graduate_Trainee.html	a4	2026-09-15
	output/Gwee_Per_Ming_Synechron_Graduate_Trainee_Cover_Letter.pdf	output/Gwee_Per_Ming_Synechron_Graduate_Trainee_Cover_Letter.html	a4	2026-09-15
024	output/Gwee_Per_Ming_SLB_Early_Careers_Digital_Technology.pdf	output/Gwee_Per_Ming_SLB_Early_Careers_Digital_Technology.html	a4	2026-09-15
